#         eV      barn        eV      barns         eV      barns
# 
 2.721910e+6 2.386950e+0 2.723770e+6 2.376990e+0 2.725620e+6 2.287040e+0
 2.727480e+6 2.180380e+0 2.729340e+6 2.066590e+0 2.731200e+6 2.021130e+0
 2.733070e+6 2.092450e+0 2.734930e+6 2.200210e+0 2.736800e+6 2.276820e+0
 2.738000e+6 2.297630e+0 2.738670e+6 2.309220e+0 2.740540e+6 2.344780e+0
 2.742410e+6 2.306410e+0 2.744290e+6 2.434100e+0 2.745540e+6 2.340630e+0
 2.746160e+6 2.294260e+0 2.748040e+6 2.336640e+0 2.749920e+6 2.379410e+0
 2.751800e+6 2.358490e+0 2.754000e+6 2.326410e+0 2.756520e+6 2.395090e+0
 2.759040e+6 2.382470e+0 2.760000e+6 2.341280e+0 2.761560e+6 2.274410e+0
 2.764090e+6 2.229600e+0 2.764600e+6 2.239000e+0 2.766620e+6 2.276230e+0
 2.769150e+6 2.300150e+0 2.771690e+6 2.352840e+0 2.774230e+6 2.448630e+0
 2.776770e+6 2.476700e+0 2.779320e+6 2.547120e+0 2.780000e+6 2.543490e+0
 2.781870e+6 2.533420e+0 2.784430e+6 2.550830e+0 2.786980e+6 2.551820e+0
 2.788800e+6 2.585780e+0 2.789550e+6 2.599770e+0 2.792110e+6 2.570800e+0
 2.794680e+6 2.589330e+0 2.797250e+6 2.571490e+0 2.799830e+6 2.512420e+0
 2.800000e+6 2.511650e+0 2.802410e+6 2.500650e+0 2.804990e+6 2.531400e+0
 2.807580e+6 2.591040e+0 2.808600e+6 2.575540e+0 2.810170e+6 2.551690e+0
 2.812760e+6 2.658410e+0 2.815360e+6 2.613420e+0 2.817960e+6 2.668190e+0
 2.820000e+6 2.666720e+0 2.820560e+6 2.666310e+0 2.823170e+6 2.763170e+0
 2.825780e+6 2.858360e+0 2.827500e+6 2.826250e+0 2.828400e+6 2.809430e+0
 2.831010e+6 2.938330e+0 2.833640e+6 3.066750e+0 2.836260e+6 3.151310e+0
 2.838890e+6 3.224220e+0 2.841530e+6 3.442640e+0 2.842700e+6 3.454380e+0
 2.844160e+6 3.469030e+0 2.846810e+6 3.571420e+0 2.849450e+6 3.692690e+0
 2.852100e+6 3.787070e+0 2.854100e+6 3.832900e+0 2.854750e+6 3.847800e+0
 2.857410e+6 3.718310e+0 2.860070e+6 3.777990e+0 2.862730e+6 3.839870e+0
 2.863900e+6 3.845460e+0 2.865390e+6 3.852580e+0 2.868070e+6 3.804510e+0
 2.870740e+6 3.738340e+0 2.873080e+6 3.517870e+0 2.875090e+6 3.246190e+0
 2.876800e+6 3.065790e+0 2.877110e+6 3.033090e+0 2.879120e+6 2.921960e+0
 2.881140e+6 2.782230e+0 2.883160e+6 2.603380e+0 2.885180e+6 2.576230e+0
 2.887200e+6 2.460560e+0 2.888900e+6 2.413500e+0 2.889230e+6 2.404370e+0
 2.891250e+6 2.389010e+0 2.893280e+6 2.286510e+0 2.895320e+6 2.299750e+0
 2.897350e+6 2.269840e+0 2.899390e+6 2.283560e+0 2.901430e+6 2.186590e+0
 2.903400e+6 2.255930e+0 2.903470e+6 2.258390e+0 2.905510e+6 2.203180e+0
 2.907550e+6 2.123590e+0 2.909600e+6 2.102460e+0 2.911650e+6 2.090220e+0
 2.913700e+6 2.087060e+0 2.915750e+6 2.112160e+0 2.916300e+6 2.102600e+0
 2.917470e+6 2.082280e+0 2.918840e+6 2.074030e+0 2.920210e+6 2.031320e+0
 2.921580e+6 2.092380e+0 2.922960e+6 2.096500e+0 2.924330e+6 2.191270e+0
 2.925710e+6 2.251270e+0 2.927090e+6 2.251180e+0 2.928470e+6 2.338420e+0
 2.929850e+6 2.419440e+0 2.931230e+6 2.544040e+0 2.932610e+6 2.591280e+0
 2.933990e+6 2.753770e+0 2.935370e+6 2.913010e+0 2.936760e+6 3.122090e+0
 2.938140e+6 3.453660e+0 2.939000e+6 3.391800e+0 2.939530e+6 3.353670e+0
 2.940000e+6 3.366400e+0 2.940910e+6 3.391040e+0 2.942300e+6 3.126930e+0
 2.943690e+6 2.955270e+0 2.945080e+6 2.670720e+0 2.946470e+6 2.466180e+0
 2.947860e+6 2.272560e+0 2.949260e+6 2.168370e+0 2.950650e+6 2.059360e+0
 2.952050e+6 2.009690e+0 2.954140e+6 1.884300e+0 2.956930e+6 1.828960e+0
 2.959740e+6 1.791940e+0 2.960000e+6 1.788680e+0 2.962540e+6 1.757060e+0
 2.965350e+6 1.690740e+0 2.965500e+6 1.689900e+0 2.968160e+6 1.674900e+0
 2.970970e+6 1.597510e+0 2.973790e+6 1.581340e+0 2.976620e+6 1.596670e+0
 2.979450e+6 1.509310e+0 2.982280e+6 1.469230e+0 2.985110e+6 1.591390e+0
